PostID,Time,TweetUrl,Content,UserName,Review,RetweetNum,LikeNum,LookNum,UserID,UserUrl,Location,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,SentimentScore,SubjectivityScore
1725124701041959310,2023-11-16,https://twitter.com/_bubblyabby_/status/1725124701041959310,"Inside the reception and welcome dinner in San Francisco.Hosted by friendly organizations including the National Committee on U.S.-China Relations and the U.S.-China Business Council, the dinner followed Xi's daylong summit with Biden. #XiBidenMeeting",_bubblyabby_,,2.0,16,1.1K,2693415903,https://twitter.com/_bubblyabby_,,,,,,,,,,,0.7351,0.7
1725117378474745998,2023-11-16,https://twitter.com/_bubblyabby_/status/1725117378474745998,,_bubblyabby_,,,,46,2693415903,https://twitter.com/_bubblyabby_,,,,,,,,,,,,
1723765376725684304,2023-11-12,https://twitter.com/_bubblyabby_/status/1723765376725684304,What is the #IndoPacific? Why is the U.S. trying to co-opt #Vietnam?Where does Vietnam stand?#APEC,_bubblyabby_,1.0,5.0,15,1.2K,2693415903,https://twitter.com/_bubblyabby_,,,,,,,,,,,0.0,0.0
1723637538399904243,2023-11-12,https://twitter.com/_bubblyabby_/status/1723637538399904243,How much #military aid does the U.S. give to the world? Who is the largest recipient? #RussiaUkraineWar #IsraelPalestineConflict,_bubblyabby_,1.0,7.0,39,1.4K,2693415903,https://twitter.com/_bubblyabby_,,,,,,,,,,,0.0,0.1
1725124701041959310,2023-11-16,https://twitter.com/_bubblyabby_/status/1725124701041959310,"Inside the reception and welcome dinner in San Francisco.Hosted by friendly organizations including the National Committee on U.S.-China Relations and the U.S.-China Business Council, the dinner followed Xi's daylong summit with Biden. #XiBidenMeeting",_bubblyabby_,,2.0,16,1.1K,2693415903,https://twitter.com/_bubblyabby_,,,,,,,,,,,0.7351,0.7
1725117378474745998,2023-11-16,https://twitter.com/_bubblyabby_/status/1725117378474745998,,_bubblyabby_,,,,47,2693415903,https://twitter.com/_bubblyabby_,,,,,,,,,,,,
1725473243673297326,2023-11-17,https://twitter.com/Amazing_Yunnan/status/1725473243673297326,"The London semi-final of the second Yunnan International Innovation and Entrepreneurship Competition will take place on November 18th at Imperial College London. The judging panel is comprised of experts from the fields of global venture capital, green and sustainable development",Amazing_Yunnan,,,1,108,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.3818,0.075
1725399721903100127,2023-11-17,https://twitter.com/Amazing_Yunnan/status/1725399721903100127,"The 2023 CITM covers 90,000 square meters, where six professional exhibition areas are set up. Around 5,000 standard booths are designed in nine pavilions for international tours,travel business formats, tourist destinations, cultural creativity, and more. #NihaoChina #CITM2023",Amazing_Yunnan,,,6,84,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.3818,0.13999999999999999
1725399182435889402,2023-11-17,https://twitter.com/Amazing_Yunnan/status/1725399182435889402,The 2023 China International #Travel Mart (CITM) was unveiled at central #Yunnan’s #Kunming Dianchi International Convention and Exhibition Center on November 17 morning. #NihaoChina #CITM2023,Amazing_Yunnan,,,4,76,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.0,0.0875
1725099441491755368,2023-11-16,https://twitter.com/Amazing_Yunnan/status/1725099441491755368,"#NihaoChina! Meet Shangri-La! The Pudacuo national park in NW Yunnan’s Diqing, is presenting its natural beauty at the beginning of winter. The colors of red, yellow, blue and green have appeared on the mountains, forests, lakes and meadows, inviting in global tourists. #CITM2023",Amazing_Yunnan,,,5,98,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.8475,0.13333333333333333
1724997415185383694,2023-11-16,https://twitter.com/Amazing_Yunnan/status/1724997415185383694,"Steamed-pot chicken, roasted duck, cross-bridge rice noodles and Modern Baba…, which is favored by the #FlyingTigers? Delicious #Yunnanfood is a memoir for the American veterans 80 years ago. #APEC2023",Amazing_Yunnan,,,1,102,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.7579,0.63
1724995556114636913,2023-11-16,https://twitter.com/Amazing_Yunnan/status/1724995556114636913,"From 1941 when Chennault was invited to #Yunnan to form the AVG to the recent visit by the Flying Tigers veterans. The healthy and stable development of China-US relations in the new era requires the participation and support of ""a new generation of #FlyingTigers"". #APEC2023",Amazing_Yunnan,,,2,118,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.765,0.4147727272727273
1724772156179988868,2023-11-15,https://twitter.com/Amazing_Yunnan/status/1724772156179988868,"Seeing her father’s traces and stories in the museum, Jane Bonner Scott was deeply touched, and she also wished the #FlyingTigers spirit to be passed down to the future generation.",Amazing_Yunnan,,,3,112,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.1779,0.2712962962962963
1724766410662932844,2023-11-15,https://twitter.com/Amazing_Yunnan/status/1724766410662932844,"When the #FlyingTigers were fighting for China, local people welcomed them and had a wonderful time together.",Amazing_Yunnan,,1.0,4,120,751441102046044160,https://twitter.com/Amazing_Yunnan,"Kunming, China",,,,,,,,,,0.5574,0.5
